From_ID,To_ID,Distance_Miles,Time_Mins
30,12,236.9978,196.4
30,13,262.5262,218.1
30,14,221.2746,181.0166666666667
30,15,224.1081,185.0
30,16,459.7327,372.1166666666667
30,17,406.1686,331.65
30,18,451.2982,363.7333333333333
30,19,342.7664,298.6166666666667
30,20,359.782,313.9333333333333
30,21,360.8675,297.35
30,22,273.6668,224.85
30,23,403.9752,339.5166666666667
30,24,328.532,280.95
30,25,146.6399,137.7666666666667
30,27,107.1002,105.5833333333333
30,28,141.329,133.4333333333333
30,29,119.6289,107.1666666666667
30,31,27.702,26.58333333333333
30,32,197.117,173.9333333333333
30,33,227.6667,188.65
30,34,209.6034,178.5666666666667
30,35,54.4818,54.11666666666667
30,36,77.183,78.51666666666667
30,37,241.9669,202.7666666666667
31,1,89.483,79.16666666666667
31,2,87.3617,76.98333333333333
31,3,87.5903,76.75
31,4,96.1435,85.5
31,5,88.0334,78.8
31,6,101.4333,90.81666666666666
31,7,71.8193,62.78333333333333
31,8,122.4747,108.5
31,9,89.2774,79.65
31,10,194.7781,162.2166666666667
31,11,195.251,163.0
31,12,211.4551,177.7
31,13,236.9835,199.4
31,14,195.7319,162.3166666666667
31,15,198.5654,166.3
31,16,434.19,353.4166666666667
31,17,380.6259,312.95
31,18,425.7555,345.0333333333334
31,19,317.2237,279.9166666666667
31,20,334.2393,295.2333333333333
31,21,335.3248,278.65
31,22,248.1241,206.15
31,23,378.4325,320.8166666666667
31,24,302.9893,262.25
31,25,121.0972,119.0666666666667
31,27,96.617,95.26666666666667
31,28,111.4038,112.75
31,29,94.0862,88.46666666666667
31,30,27.4727,26.61666666666667
